resource_id,resource_title,resource_type,description,rating
Resource001,Python Cơ bản cho người mới,Tutorial,"Tài liệu 'Python Cơ bản cho người mới' thuộc ngành Công nghệ thông tin, hỗ trợ chủ đề Python, phù hợp mức Beginner. Nội dung hướng đến mục tiêu PracticeSkill, rèn kỹ năng Python, có ví dụ, tình huống thực hành và minh chứng để phục vụ hệ thống Ontology RAG đa ngành.",4.4
Resource002,Python Bài tập thực hành,Slide,"Tài liệu 'Python Bài tập thực hành' thuộc ngành Công nghệ thông tin, hỗ trợ chủ đề SQL, phù hợp mức Advanced. Nội dung hướng đến mục tiêu BuildProject, rèn kỹ năng SQL, có ví dụ, tình huống thực hành và minh chứng để phục vụ hệ thống Ontology RAG đa ngành.",3.7
Resource003,SQL Cơ bản,PracticeExercise,"Tài liệu 'SQL Cơ bản' thuộc ngành Công nghệ thông tin, hỗ trợ chủ đề ArtificialIntelligence, phù hợp mức ExamPreparation. Nội dung hướng đến mục tiêu AnalyzeData, rèn kỹ năng React, có ví dụ, tình huống thực hành và minh chứng để phục vụ hệ thống Ontology RAG đa ngành.",4.4
Resource004,SQL Practice Workbook,Book,"Tài liệu 'SQL Practice Workbook' thuộc ngành Công nghệ thông tin, hỗ trợ chủ đề MachineLearning, phù hợp mức Beginner. Nội dung hướng đến mục tiêu ApplyIndustry, rèn kỹ năng APIDesign, có ví dụ, tình huống thực hành và minh chứng để phục vụ hệ thống Ontology RAG đa ngành.",3.7
Resource005,Slide Nhập môn Trí tuệ nhân tạo,Video,"Tài liệu 'Slide Nhập môn Trí tuệ nhân tạo' thuộc ngành Công nghệ thông tin, hỗ trợ chủ đề WebDevelopment, phù hợp mức Advanced. Nội dung hướng đến mục tiêu ResearchTopic, rèn kỹ năng DataAnalysis, có ví dụ, tình huống thực hành và minh chứng để phục vụ hệ thống Ontology RAG đa ngành.",4.4
Resource006,Pandas Tutorial,Notebook,"Tài liệu 'Pandas Tutorial' thuộc ngành Công nghệ thông tin, hỗ trợ chủ đề Database, phù hợp mức ExamPreparation. Nội dung hướng đến mục tiêu PracticeCoding, rèn kỹ năng MachineLearning, có ví dụ, tình huống thực hành và minh chứng để phục vụ hệ thống Ontology RAG đa ngành.",3.7
Resource007,Data Visualization với Matplotlib,ProjectSample,"Tài liệu 'Data Visualization với Matplotlib' thuộc ngành Công nghệ thông tin, hỗ trợ chủ đề DataAnalysis, phù hợp mức Beginner. Nội dung hướng đến mục tiêu ImproveLanguage, rèn kỹ năng Git, có ví dụ, tình huống thực hành và minh chứng để phục vụ hệ thống Ontology RAG đa ngành.",4.4
Resource008,Machine Learning Cơ bản,Tutorial,"Tài liệu 'Machine Learning Cơ bản' thuộc ngành Công nghệ thông tin, hỗ trợ chủ đề Git, phù hợp mức Advanced. Nội dung hướng đến mục tiêu TechnicalMaintenance, rèn kỹ năng Debugging, có ví dụ, tình huống thực hành và minh chứng để phục vụ hệ thống Ontology RAG đa ngành.",3.7
Resource009,Cấu trúc dữ liệu qua ví dụ,Slide,"Tài liệu 'Cấu trúc dữ liệu qua ví dụ' thuộc ngành Công nghệ thông tin, hỗ trợ chủ đề Python, phù hợp mức ExamPreparation. Nội dung hướng đến mục tiêu SupplyChainOptimization, rèn kỹ năng Python, có ví dụ, tình huống thực hành và minh chứng để phục vụ hệ thống Ontology RAG đa ngành.",4.4
Resource010,Java OOP Tutorial,PracticeExercise,"Tài liệu 'Java OOP Tutorial' thuộc ngành Công nghệ thông tin, hỗ trợ chủ đề SQL, phù hợp mức Beginner. Nội dung hướng đến mục tiêu ProfessionalCertification, rèn kỹ năng SQL, có ví dụ, tình huống thực hành và minh chứng để phục vụ hệ thống Ontology RAG đa ngành.",3.7
Resource011,Web Frontend Cơ bản,Book,"Tài liệu 'Web Frontend Cơ bản' thuộc ngành Công nghệ thông tin, hỗ trợ chủ đề ArtificialIntelligence, phù hợp mức Advanced. Nội dung hướng đến mục tiêu PracticeSkill, rèn kỹ năng React, có ví dụ, tình huống thực hành và minh chứng để phục vụ hệ thống Ontology RAG đa ngành.",4.4
Resource012,Git và GitHub cho sinh viên,Video,"Tài liệu 'Git và GitHub cho sinh viên' thuộc ngành Công nghệ thông tin, hỗ trợ chủ đề MachineLearning, phù hợp mức ExamPreparation. Nội dung hướng đến mục tiêu BuildProject, rèn kỹ năng APIDesign, có ví dụ, tình huống thực hành và minh chứng để phục vụ hệ thống Ontology RAG đa ngành.",3.7
Resource013,Notebook Phân tích dữ liệu mẫu,Notebook,"Tài liệu 'Notebook Phân tích dữ liệu mẫu' thuộc ngành Công nghệ thông tin, hỗ trợ chủ đề WebDevelopment, phù hợp mức Beginner. Nội dung hướng đến mục tiêu AnalyzeData, rèn kỹ năng DataAnalysis, có ví dụ, tình huống thực hành và minh chứng để phục vụ hệ thống Ontology RAG đa ngành.",4.4
Resource014,Đồ án mẫu Python Data Analysis,ProjectSample,"Tài liệu 'Đồ án mẫu Python Data Analysis' thuộc ngành Công nghệ thông tin, hỗ trợ chủ đề Database, phù hợp mức Advanced. Nội dung hướng đến mục tiêu ApplyIndustry, rèn kỹ năng MachineLearning, có ví dụ, tình huống thực hành và minh chứng để phục vụ hệ thống Ontology RAG đa ngành.",3.7
Resource015,Slide Lý thuyết Cơ sở dữ liệu,Tutorial,"Tài liệu 'Slide Lý thuyết Cơ sở dữ liệu' thuộc ngành Công nghệ thông tin, hỗ trợ chủ đề DataAnalysis, phù hợp mức ExamPreparation. Nội dung hướng đến mục tiêu ResearchTopic, rèn kỹ năng Git, có ví dụ, tình huống thực hành và minh chứng để phục vụ hệ thống Ontology RAG đa ngành.",4.4
Resource016,Quản trị học căn bản,Video,"Tài liệu 'Quản trị học căn bản' thuộc ngành Quản trị kinh doanh, hỗ trợ chủ đề Management, phù hợp mức ProjectReady. Nội dung hướng đến mục tiêu FinancialAnalysis, rèn kỹ năng Planning, có ví dụ, tình huống thực hành và minh chứng để phục vụ hệ thống Ontology RAG đa ngành.",3.7
Resource017,Chiến lược kinh doanh qua tình huống,Notebook,"Tài liệu 'Chiến lược kinh doanh qua tình huống' thuộc ngành Quản trị kinh doanh, hỗ trợ chủ đề BusinessStrategy, phù hợp mức Foundation. Nội dung hướng đến mục tiêu CreativeDesign, rèn kỹ năng Leadership, có ví dụ, tình huống thực hành và minh chứng để phục vụ hệ thống Ontology RAG đa ngành.",4.4
Resource018,Hành vi tổ chức cho nhà quản trị,ProjectSample,"Tài liệu 'Hành vi tổ chức cho nhà quản trị' thuộc ngành Quản trị kinh doanh, hỗ trợ chủ đề OrganizationalBehavior, phù hợp mức Intermediate. Nội dung hướng đến mục tiêu LearnFoundation, rèn kỹ năng MarketAnalysis, có ví dụ, tình huống thực hành và minh chứng để phục vụ hệ thống Ontology RAG đa ngành.",3.7
Resource019,Khởi nghiệp và mô hình kinh doanh,Tutorial,"Tài liệu 'Khởi nghiệp và mô hình kinh doanh' thuộc ngành Quản trị kinh doanh, hỗ trợ chủ đề Entrepreneurship, phù hợp mức ProjectReady. Nội dung hướng đến mục tiêu PrepareExam, rèn kỹ năng DecisionMaking, có ví dụ, tình huống thực hành và minh chứng để phục vụ hệ thống Ontology RAG đa ngành.",4.4
Resource020,Quản trị nhân sự thực hành,Slide,"Tài liệu 'Quản trị nhân sự thực hành' thuộc ngành Quản trị kinh doanh, hỗ trợ chủ đề HumanResource, phù hợp mức Foundation. Nội dung hướng đến mục tiêu ImproveCommunication, rèn kỹ năng Teamwork, có ví dụ, tình huống thực hành và minh chứng để phục vụ hệ thống Ontology RAG đa ngành.",3.7
Resource021,Lập kế hoạch kinh doanh mẫu,PracticeExercise,"Tài liệu 'Lập kế hoạch kinh doanh mẫu' thuộc ngành Quản trị kinh doanh, hỗ trợ chủ đề BusinessPlanning, phù hợp mức Intermediate. Nội dung hướng đến mục tiêu UnderstandTheory, rèn kỹ năng BusinessWriting, có ví dụ, tình huống thực hành và minh chứng để phục vụ hệ thống Ontology RAG đa ngành.",4.4
Resource022,Kỹ năng ra quyết định quản trị,Book,"Tài liệu 'Kỹ năng ra quyết định quản trị' thuộc ngành Quản trị kinh doanh, hỗ trợ chủ đề Management, phù hợp mức ProjectReady. Nội dung hướng đến mục tiêu DevelopCareer, rèn kỹ năng Planning, có ví dụ, tình huống thực hành và minh chứng để phục vụ hệ thống Ontology RAG đa ngành.",3.7
Resource023,Phân tích môi trường kinh doanh,Video,"Tài liệu 'Phân tích môi trường kinh doanh' thuộc ngành Quản trị kinh doanh, hỗ trợ chủ đề BusinessStrategy, phù hợp mức Foundation. Nội dung hướng đến mục tiêu LearnProgramming, rèn kỹ năng Leadership, có ví dụ, tình huống thực hành và minh chứng để phục vụ hệ thống Ontology RAG đa ngành.",4.4
Resource024,Quản trị vận hành căn bản,Notebook,"Tài liệu 'Quản trị vận hành căn bản' thuộc ngành Quản trị kinh doanh, hỗ trợ chủ đề OrganizationalBehavior, phù hợp mức Intermediate. Nội dung hướng đến mục tiêu LearnBusiness, rèn kỹ năng MarketAnalysis, có ví dụ, tình huống thực hành và minh chứng để phục vụ hệ thống Ontology RAG đa ngành.",3.7
Resource025,Bài tập tình huống quản trị,ProjectSample,"Tài liệu 'Bài tập tình huống quản trị' thuộc ngành Quản trị kinh doanh, hỗ trợ chủ đề Entrepreneurship, phù hợp mức ProjectReady. Nội dung hướng đến mục tiêu ServiceOperations, rèn kỹ năng DecisionMaking, có ví dụ, tình huống thực hành và minh chứng để phục vụ hệ thống Ontology RAG đa ngành.",4.4
Resource026,Nghiệp vụ lễ tân khách sạn,PracticeExercise,"Tài liệu 'Nghiệp vụ lễ tân khách sạn' thuộc ngành Quản trị khách sạn, hỗ trợ chủ đề FrontOffice, phù hợp mức Intermediate. Nội dung hướng đến mục tiêu UnderstandTheory, rèn kỹ năng FrontOfficeService, có ví dụ, tình huống thực hành và minh chứng để phục vụ hệ thống Ontology RAG đa ngành.",3.7
Resource027,Quản trị buồng phòng cơ bản,Book,"Tài liệu 'Quản trị buồng phòng cơ bản' thuộc ngành Quản trị khách sạn, hỗ trợ chủ đề Housekeeping, phù hợp mức ProjectReady. Nội dung hướng đến mục tiêu DevelopCareer, rèn kỹ năng GuestCommunication, có ví dụ, tình huống thực hành và minh chứng để phục vụ hệ thống Ontology RAG đa ngành.",4.4
Resource028,Dịch vụ nhà hàng khách sạn,Video,"Tài liệu 'Dịch vụ nhà hàng khách sạn' thuộc ngành Quản trị khách sạn, hỗ trợ chủ đề FoodBeverage, phù hợp mức Foundation. Nội dung hướng đến mục tiêu LearnProgramming, rèn kỹ năng ReservationHandling, có ví dụ, tình huống thực hành và minh chứng để phục vụ hệ thống Ontology RAG đa ngành.",3.7
Resource029,Xử lý tình huống khách hàng,Notebook,"Tài liệu 'Xử lý tình huống khách hàng' thuộc ngành Quản trị khách sạn, hỗ trợ chủ đề HotelService, phù hợp mức Intermediate. Nội dung hướng đến mục tiêu LearnBusiness, rèn kỹ năng HousekeepingInspection, có ví dụ, tình huống thực hành và minh chứng để phục vụ hệ thống Ontology RAG đa ngành.",4.4
