query_id,hyperedge_id,resource_id,evidence_id,label,label_name,match_type,matched_fields,reason
Q001,H0166,Resource056,E0166,3,very_relevant,expected_resource,domain;topic;level;goal;skill,Hyperedge belongs to an expected resource for this question.
Q001,H0167,Resource056,E0167,3,very_relevant,expected_resource,domain;topic;level;goal;skill,Hyperedge belongs to an expected resource for this question.
Q001,H0168,Resource056,E0168,3,very_relevant,expected_resource,domain;topic;level;goal;skill,Hyperedge belongs to an expected resource for this question.
Q001,H0169,Resource057,E0169,3,very_relevant,expected_resource,domain;topic;level;goal;skill,Hyperedge belongs to an expected resource for this question.
Q001,H0170,Resource057,E0170,3,very_relevant,expected_resource,domain;topic;level;goal;skill,Hyperedge belongs to an expected resource for this question.
Q001,H0171,Resource057,E0171,3,very_relevant,expected_resource,domain;topic;level;goal;skill,Hyperedge belongs to an expected resource for this question.
Q001,H0172,Resource058,E0172,3,very_relevant,expected_resource,domain;topic;level;goal;skill,Hyperedge belongs to an expected resource for this question.
Q001,H0173,Resource058,E0173,3,very_relevant,expected_resource,domain;topic;level;goal;skill,Hyperedge belongs to an expected resource for this question.
Q001,H0174,Resource058,E0174,3,very_relevant,expected_resource,domain;topic;level;goal;skill,Hyperedge belongs to an expected resource for this question.
Q001,H0175,Resource059,E0175,3,very_relevant,expected_resource,domain;topic;level;skill,Hyperedge belongs to an expected resource for this question.
Q001,H0176,Resource059,E0176,3,very_relevant,expected_resource,domain;topic;level;skill,Hyperedge belongs to an expected resource for this question.
Q001,H0177,Resource059,E0177,3,very_relevant,expected_resource,domain;topic;level;skill,Hyperedge belongs to an expected resource for this question.
Q001,H0178,Resource060,E0178,3,very_relevant,expected_resource,domain;topic;level;goal;skill,Hyperedge belongs to an expected resource for this question.
Q001,H0179,Resource060,E0179,3,very_relevant,expected_resource,domain;topic;level;goal;skill,Hyperedge belongs to an expected resource for this question.
Q001,H0180,Resource060,E0180,3,very_relevant,expected_resource,domain;topic;level;goal;skill,Hyperedge belongs to an expected resource for this question.
Q001,H0181,Resource061,E0181,3,very_relevant,expected_resource,domain;topic;level;skill,Hyperedge belongs to an expected resource for this question.
Q001,H0182,Resource061,E0182,3,very_relevant,expected_resource,domain;topic;level;skill,Hyperedge belongs to an expected resource for this question.
Q001,H0183,Resource061,E0183,3,very_relevant,expected_resource,domain;topic;level;skill,Hyperedge belongs to an expected resource for this question.
Q001,H0187,Resource063,E0187,3,very_relevant,expected_resource,domain;topic;level;skill,Hyperedge belongs to an expected resource for this question.
Q001,H0188,Resource063,E0188,3,very_relevant,expected_resource,domain;topic;level;skill,Hyperedge belongs to an expected resource for this question.
Q001,H0189,Resource063,E0189,3,very_relevant,expected_resource,domain;topic;level;skill,Hyperedge belongs to an expected resource for this question.
Q001,H0193,Resource065,E0193,3,very_relevant,expected_resource,domain;topic;level;skill,Hyperedge belongs to an expected resource for this question.
Q001,H0194,Resource065,E0194,3,very_relevant,expected_resource,domain;topic;level;skill,Hyperedge belongs to an expected resource for this question.
Q001,H0195,Resource065,E0195,3,very_relevant,expected_resource,domain;topic;level;skill,Hyperedge belongs to an expected resource for this question.
Q001,H0184,Resource062,E0184,2,relevant,metadata_strong_match,domain;topic;level;goal;skill,Hyperedge is not in expected_resources but strongly matches the question metadata.
Q001,H0185,Resource062,E0185,2,relevant,metadata_strong_match,domain;topic;level;goal;skill,Hyperedge is not in expected_resources but strongly matches the question metadata.
Q001,H0190,Resource064,E0190,2,relevant,metadata_strong_match,domain;topic;level;goal;skill,Hyperedge is not in expected_resources but strongly matches the question metadata.
Q001,H0191,Resource064,E0191,2,relevant,metadata_strong_match,domain;topic;level;goal;skill,Hyperedge is not in expected_resources but strongly matches the question metadata.
Q001,H0046,Resource016,E0046,1,partially_relevant,metadata_partial_match,level;goal,Hyperedge shares some metadata with the question but is not a primary expected answer.
Q001,H0049,Resource017,E0049,1,partially_relevant,metadata_partial_match,level;goal,Hyperedge shares some metadata with the question but is not a primary expected answer.
Q001,H0052,Resource018,E0052,1,partially_relevant,metadata_partial_match,level;goal,Hyperedge shares some metadata with the question but is not a primary expected answer.
Q001,H0058,Resource020,E0058,1,partially_relevant,metadata_partial_match,level;goal,Hyperedge shares some metadata with the question but is not a primary expected answer.
Q001,H0064,Resource022,E0064,1,partially_relevant,metadata_partial_match,level;goal,Hyperedge shares some metadata with the question but is not a primary expected answer.
Q001,H0070,Resource024,E0070,1,partially_relevant,metadata_partial_match,level;goal,Hyperedge shares some metadata with the question but is not a primary expected answer.
Q001,H0079,Resource027,E0079,1,partially_relevant,metadata_partial_match,level;goal,Hyperedge shares some metadata with the question but is not a primary expected answer.
Q001,H0085,Resource029,E0085,1,partially_relevant,metadata_partial_match,level;goal,Hyperedge shares some metadata with the question but is not a primary expected answer.
Q001,H0007,Resource003,E0007,0,not_relevant,random_negative,,Hyperedge is intentionally unrelated to provide negative training examples.
Q001,H0016,Resource006,E0016,0,not_relevant,random_negative,,Hyperedge is intentionally unrelated to provide negative training examples.
Q001,H0019,Resource007,E0019,0,not_relevant,random_negative,,Hyperedge is intentionally unrelated to provide negative training examples.
Q001,H0022,Resource008,E0022,0,not_relevant,random_negative,,Hyperedge is intentionally unrelated to provide negative training examples.
Q001,H0025,Resource009,E0025,0,not_relevant,random_negative,,Hyperedge is intentionally unrelated to provide negative training examples.
Q001,H0037,Resource013,E0037,0,not_relevant,random_negative,,Hyperedge is intentionally unrelated to provide negative training examples.
Q001,H0040,Resource014,E0040,0,not_relevant,random_negative,,Hyperedge is intentionally unrelated to provide negative training examples.
Q001,H0043,Resource015,E0043,0,not_relevant,random_negative,,Hyperedge is intentionally unrelated to provide negative training examples.
Q002,H0172,Resource058,E0172,3,very_relevant,expected_resource,domain;topic;level;goal;skill,Hyperedge belongs to an expected resource for this question.
Q002,H0173,Resource058,E0173,3,very_relevant,expected_resource,domain;topic;level;goal;skill,Hyperedge belongs to an expected resource for this question.
Q002,H0174,Resource058,E0174,3,very_relevant,expected_resource,domain;topic;level;goal;skill,Hyperedge belongs to an expected resource for this question.
Q002,H0181,Resource061,E0181,3,very_relevant,expected_resource,domain;topic;level;goal;skill,Hyperedge belongs to an expected resource for this question.
Q002,H0182,Resource061,E0182,3,very_relevant,expected_resource,domain;topic;level;goal;skill,Hyperedge belongs to an expected resource for this question.
Q002,H0183,Resource061,E0183,3,very_relevant,expected_resource,domain;topic;level;goal;skill,Hyperedge belongs to an expected resource for this question.
Q002,H0190,Resource064,E0190,3,very_relevant,expected_resource,domain;topic;level;goal;skill,Hyperedge belongs to an expected resource for this question.
Q002,H0191,Resource064,E0191,3,very_relevant,expected_resource,domain;topic;level;goal;skill,Hyperedge belongs to an expected resource for this question.
Q002,H0192,Resource064,E0192,3,very_relevant,expected_resource,domain;topic;level;goal;skill,Hyperedge belongs to an expected resource for this question.
Q002,H0157,Resource053,E0157,1,partially_relevant,metadata_partial_match,level;goal,Hyperedge shares some metadata with the question but is not a primary expected answer.
Q002,H0196,Resource066,E0196,1,partially_relevant,metadata_partial_match,level;goal,Hyperedge shares some metadata with the question but is not a primary expected answer.
Q002,H0205,Resource069,E0205,1,partially_relevant,metadata_partial_match,level;goal,Hyperedge shares some metadata with the question but is not a primary expected answer.
Q002,H0337,Resource113,E0337,1,partially_relevant,metadata_partial_match,level;goal,Hyperedge shares some metadata with the question but is not a primary expected answer.
Q002,H0352,Resource118,E0352,1,partially_relevant,metadata_partial_match,level;goal,Hyperedge shares some metadata with the question but is not a primary expected answer.
Q002,H0361,Resource121,E0361,1,partially_relevant,metadata_partial_match,level;goal,Hyperedge shares some metadata with the question but is not a primary expected answer.
Q002,H0370,Resource124,E0370,1,partially_relevant,metadata_partial_match,level;goal,Hyperedge shares some metadata with the question but is not a primary expected answer.
Q002,H0376,Resource126,E0376,1,partially_relevant,metadata_partial_match,level;goal,Hyperedge shares some metadata with the question but is not a primary expected answer.
Q002,H0025,Resource009,E0025,0,not_relevant,random_negative,,Hyperedge is intentionally unrelated to provide negative training examples.
Q002,H0046,Resource016,E0046,0,not_relevant,random_negative,,Hyperedge is intentionally unrelated to provide negative training examples.
Q002,H0208,Resource070,E0208,0,not_relevant,random_negative,,Hyperedge is intentionally unrelated to provide negative training examples.
Q002,H0253,Resource085,E0253,0,not_relevant,random_negative,,Hyperedge is intentionally unrelated to provide negative training examples.
Q002,H0307,Resource103,E0307,0,not_relevant,random_negative,,Hyperedge is intentionally unrelated to provide negative training examples.
Q002,H0322,Resource108,E0322,0,not_relevant,random_negative,,Hyperedge is intentionally unrelated to provide negative training examples.
Q002,H0364,Resource122,E0364,0,not_relevant,random_negative,,Hyperedge is intentionally unrelated to provide negative training examples.
Q002,H0391,Resource131,E0391,0,not_relevant,random_negative,,Hyperedge is intentionally unrelated to provide negative training examples.
Q003,H0169,Resource057,E0169,3,very_relevant,expected_resource,domain;topic;level;goal;skill,Hyperedge belongs to an expected resource for this question.
Q003,H0170,Resource057,E0170,3,very_relevant,expected_resource,domain;topic;level;goal;skill,Hyperedge belongs to an expected resource for this question.
Q003,H0171,Resource057,E0171,3,very_relevant,expected_resource,domain;topic;level;goal;skill,Hyperedge belongs to an expected resource for this question.
Q003,H0178,Resource060,E0178,3,very_relevant,expected_resource,domain;topic;level;goal;skill,Hyperedge belongs to an expected resource for this question.
Q003,H0179,Resource060,E0179,3,very_relevant,expected_resource,domain;topic;level;goal;skill,Hyperedge belongs to an expected resource for this question.
