hyperedge_id,resource_id,resource_title,resource_type,domain,topic,level,goal,skill,prerequisite,rating,evidence_id,evidence_type,evidence_text
H0001,Resource001,Python Cơ bản cho người mới,Tutorial,Công nghệ thông tin,Python,Beginner,PracticeSkill,Python,None,4.4,E0001,ContentEvidence,"Tài liệu 'Python Cơ bản cho người mới' thuộc ngành Công nghệ thông tin, hỗ trợ chủ đề Python và có thể dùng làm nguồn học tập tham khảo trong hệ thống EAU-HyperRAG."
H0002,Resource001,Python Cơ bản cho người mới,Tutorial,Công nghệ thông tin,Python,Beginner,PracticeSkill,Python,None,4.4,E0002,LevelGoalEvidence,"'Python Cơ bản cho người mới' phù hợp mức Beginner, hướng đến mục tiêu PracticeSkill, giúp người học lựa chọn tài liệu theo trình độ và mục tiêu học tập."
H0003,Resource001,Python Cơ bản cho người mới,Tutorial,Công nghệ thông tin,Python,Beginner,PracticeSkill,Python,None,4.4,E0003,SkillEvidence,"Nội dung 'Python Cơ bản cho người mới' rèn kỹ năng Python, có ví dụ và tình huống thực hành để hỗ trợ truy xuất evidence khi hệ thống gợi ý tài liệu."
H0004,Resource002,Python Bài tập thực hành,Slide,Công nghệ thông tin,SQL,Advanced,BuildProject,SQL,BasicKnowledge,3.7,E0004,ContentEvidence,"Tài liệu 'Python Bài tập thực hành' thuộc ngành Công nghệ thông tin, hỗ trợ chủ đề SQL và có thể dùng làm nguồn học tập tham khảo trong hệ thống EAU-HyperRAG."
H0005,Resource002,Python Bài tập thực hành,Slide,Công nghệ thông tin,SQL,Advanced,BuildProject,SQL,BasicKnowledge,3.7,E0005,LevelGoalEvidence,"'Python Bài tập thực hành' phù hợp mức Advanced, hướng đến mục tiêu BuildProject, giúp người học lựa chọn tài liệu theo trình độ và mục tiêu học tập."
H0006,Resource002,Python Bài tập thực hành,Slide,Công nghệ thông tin,SQL,Advanced,BuildProject,SQL,BasicKnowledge,3.7,E0006,SkillEvidence,"Nội dung 'Python Bài tập thực hành' rèn kỹ năng SQL, có ví dụ và tình huống thực hành để hỗ trợ truy xuất evidence khi hệ thống gợi ý tài liệu."
H0007,Resource003,SQL Cơ bản,PracticeExercise,Công nghệ thông tin,ArtificialIntelligence,ExamPreparation,AnalyzeData,React,CoreConcepts,4.4,E0007,ContentEvidence,"Tài liệu 'SQL Cơ bản' thuộc ngành Công nghệ thông tin, hỗ trợ chủ đề ArtificialIntelligence và có thể dùng làm nguồn học tập tham khảo trong hệ thống EAU-HyperRAG."
H0008,Resource003,SQL Cơ bản,PracticeExercise,Công nghệ thông tin,ArtificialIntelligence,ExamPreparation,AnalyzeData,React,CoreConcepts,4.4,E0008,LevelGoalEvidence,"'SQL Cơ bản' phù hợp mức ExamPreparation, hướng đến mục tiêu AnalyzeData, giúp người học lựa chọn tài liệu theo trình độ và mục tiêu học tập."
H0009,Resource003,SQL Cơ bản,PracticeExercise,Công nghệ thông tin,ArtificialIntelligence,ExamPreparation,AnalyzeData,React,CoreConcepts,4.4,E0009,SkillEvidence,"Nội dung 'SQL Cơ bản' rèn kỹ năng React, có ví dụ và tình huống thực hành để hỗ trợ truy xuất evidence khi hệ thống gợi ý tài liệu."
H0010,Resource004,SQL Practice Workbook,Book,Công nghệ thông tin,MachineLearning,Beginner,ApplyIndustry,APIDesign,None,3.7,E0010,ContentEvidence,"Tài liệu 'SQL Practice Workbook' thuộc ngành Công nghệ thông tin, hỗ trợ chủ đề MachineLearning và có thể dùng làm nguồn học tập tham khảo trong hệ thống EAU-HyperRAG."
