evidence_id,resource_id,evidence_text,evidence_type
E0001,Resource001,"Tài liệu 'Python Cơ bản cho người mới' thuộc ngành Công nghệ thông tin, hỗ trợ chủ đề Python và có thể dùng làm nguồn học tập tham khảo trong hệ thống EAU-HyperRAG.",ContentEvidence
E0002,Resource001,"'Python Cơ bản cho người mới' phù hợp mức Beginner, hướng đến mục tiêu PracticeSkill, giúp người học lựa chọn tài liệu theo trình độ và mục tiêu học tập.",LevelGoalEvidence
E0003,Resource001,"Nội dung 'Python Cơ bản cho người mới' rèn kỹ năng Python, có ví dụ và tình huống thực hành để hỗ trợ truy xuất evidence khi hệ thống gợi ý tài liệu.",SkillEvidence
E0004,Resource002,"Tài liệu 'Python Bài tập thực hành' thuộc ngành Công nghệ thông tin, hỗ trợ chủ đề SQL và có thể dùng làm nguồn học tập tham khảo trong hệ thống EAU-HyperRAG.",ContentEvidence
E0005,Resource002,"'Python Bài tập thực hành' phù hợp mức Advanced, hướng đến mục tiêu BuildProject, giúp người học lựa chọn tài liệu theo trình độ và mục tiêu học tập.",LevelGoalEvidence
E0006,Resource002,"Nội dung 'Python Bài tập thực hành' rèn kỹ năng SQL, có ví dụ và tình huống thực hành để hỗ trợ truy xuất evidence khi hệ thống gợi ý tài liệu.",SkillEvidence
E0007,Resource003,"Tài liệu 'SQL Cơ bản' thuộc ngành Công nghệ thông tin, hỗ trợ chủ đề ArtificialIntelligence và có thể dùng làm nguồn học tập tham khảo trong hệ thống EAU-HyperRAG.",ContentEvidence
E0008,Resource003,"'SQL Cơ bản' phù hợp mức ExamPreparation, hướng đến mục tiêu AnalyzeData, giúp người học lựa chọn tài liệu theo trình độ và mục tiêu học tập.",LevelGoalEvidence
E0009,Resource003,"Nội dung 'SQL Cơ bản' rèn kỹ năng React, có ví dụ và tình huống thực hành để hỗ trợ truy xuất evidence khi hệ thống gợi ý tài liệu.",SkillEvidence
E0010,Resource004,"Tài liệu 'SQL Practice Workbook' thuộc ngành Công nghệ thông tin, hỗ trợ chủ đề MachineLearning và có thể dùng làm nguồn học tập tham khảo trong hệ thống EAU-HyperRAG.",ContentEvidence
E0011,Resource004,"'SQL Practice Workbook' phù hợp mức Beginner, hướng đến mục tiêu ApplyIndustry, giúp người học lựa chọn tài liệu theo trình độ và mục tiêu học tập.",LevelGoalEvidence
E0012,Resource004,"Nội dung 'SQL Practice Workbook' rèn kỹ năng APIDesign, có ví dụ và tình huống thực hành để hỗ trợ truy xuất evidence khi hệ thống gợi ý tài liệu.",SkillEvidence
E0013,Resource005,"Tài liệu 'Slide Nhập môn Trí tuệ nhân tạo' thuộc ngành Công nghệ thông tin, hỗ trợ chủ đề WebDevelopment và có thể dùng làm nguồn học tập tham khảo trong hệ thống EAU-HyperRAG.",ContentEvidence
E0014,Resource005,"'Slide Nhập môn Trí tuệ nhân tạo' phù hợp mức Advanced, hướng đến mục tiêu ResearchTopic, giúp người học lựa chọn tài liệu theo trình độ và mục tiêu học tập.",LevelGoalEvidence
E0015,Resource005,"Nội dung 'Slide Nhập môn Trí tuệ nhân tạo' rèn kỹ năng DataAnalysis, có ví dụ và tình huống thực hành để hỗ trợ truy xuất evidence khi hệ thống gợi ý tài liệu.",SkillEvidence
E0016,Resource006,"Tài liệu 'Pandas Tutorial' thuộc ngành Công nghệ thông tin, hỗ trợ chủ đề Database và có thể dùng làm nguồn học tập tham khảo trong hệ thống EAU-HyperRAG.",ContentEvidence
E0017,Resource006,"'Pandas Tutorial' phù hợp mức ExamPreparation, hướng đến mục tiêu PracticeCoding, giúp người học lựa chọn tài liệu theo trình độ và mục tiêu học tập.",LevelGoalEvidence
E0018,Resource006,"Nội dung 'Pandas Tutorial' rèn kỹ năng MachineLearning, có ví dụ và tình huống thực hành để hỗ trợ truy xuất evidence khi hệ thống gợi ý tài liệu.",SkillEvidence
E0019,Resource007,"Tài liệu 'Data Visualization với Matplotlib' thuộc ngành Công nghệ thông tin, hỗ trợ chủ đề DataAnalysis và có thể dùng làm nguồn học tập tham khảo trong hệ thống EAU-HyperRAG.",ContentEvidence
E0020,Resource007,"'Data Visualization với Matplotlib' phù hợp mức Beginner, hướng đến mục tiêu ImproveLanguage, giúp người học lựa chọn tài liệu theo trình độ và mục tiêu học tập.",LevelGoalEvidence
E0021,Resource007,"Nội dung 'Data Visualization với Matplotlib' rèn kỹ năng Git, có ví dụ và tình huống thực hành để hỗ trợ truy xuất evidence khi hệ thống gợi ý tài liệu.",SkillEvidence
